"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@madebygoogle Can have this tweak added for #googlepixel 
If Front_Camera = On Then Finger_Print_Scanner = Camera_Click_Button;",FALSE,0,"madebygoogle",2016-12-07 07:33:19,FALSE,NA,"806401185091645440","776196808909336577","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_TheCoolGeek",0,FALSE,FALSE,NA,NA
"2","@StandardXsocial the #googlepixel has a damn good camera.",FALSE,1,"StandardXsocial",2016-12-07 04:41:43,FALSE,"806339887930560512","806357999551913986","81234533","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StandardXsocial",0,FALSE,FALSE,NA,NA
"3","The camera on the #googlepixel has been really flirting with my heart. Soo good!",FALSE,1,NA,2016-12-06 20:56:27,FALSE,NA,"806240911940325376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsaacDTendo",0,FALSE,FALSE,NA,NA
"4","#googlePixel - I am on Photo Spree and in love with the camera.",FALSE,0,NA,2016-12-06 17:43:07,FALSE,NA,"806192259905503232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","toyouamit",0,FALSE,FALSE,NA,NA
"5","Android update for the Pixel updates emojis, gifs &amp; wallpaper, but doesn't fix the camera app being fairly garbage. #priorities #GooglePixel",FALSE,2,NA,2016-12-06 15:36:30,FALSE,NA,"806160393609576449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Runnin4MySanity",0,FALSE,FALSE,NA,NA
"6","Been using the #googlepixelxl for a week now. The camera is absolutely stunning!! In low light it beats the iPhone7plus. #googlepixel #tech",FALSE,1,NA,2016-12-06 08:59:01,FALSE,NA,"806060363640803328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arvindimi",0,FALSE,FALSE,NA,NA
"7","Google Pixel XL Vs Huawei Mate 9 Review Latest News &amp; Update: Which One Has Better Camera,… https://t.co/JNshLvFqI7… https://t.co/2gnBla3rtZ",FALSE,0,NA,2016-12-05 23:46:16,TRUE,NA,"805921259376607233",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PixelPhoneNews",0,FALSE,FALSE,NA,NA
"8","@google amazed at the quality of the Google Pixel camera, HDR rocks. #smartphone #googlepixel #HDR https://t.co/InKREn5eky",FALSE,0,"google",2016-12-05 23:01:21,FALSE,NA,"805909958369886208","20536157","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m0taz",0,FALSE,FALSE,NA,NA
"9","This Google Pixel <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> never ceases to amaze me! #Pixel #googlepixel #photography #camera #android #madebygoogle https://t.co/iEPAUA5MrY",FALSE,0,NA,2016-12-05 22:13:56,FALSE,NA,"805898023448481796",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LJosephLeBlanc",0,FALSE,FALSE,NA,NA
"10","Google working on fix for Pixel camera freezing issue https://t.co/XA7OOmWfrA #googlepixel #madebygoogle #PixelXL… https://t.co/rI1zhIaxmy",FALSE,0,NA,2016-12-05 18:24:32,TRUE,NA,"805840293950083072",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","0R0DRUIN",0,FALSE,FALSE,NA,NA
"11","Google working on fix for Pixel camera freezing issue https://t.co/ecGSW7s86X #googlepixel #madebygoogle #PixelXL… https://t.co/igU9ko2Lk1",FALSE,0,NA,2016-12-05 18:24:32,TRUE,NA,"805840293807407104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","techaeris",0,FALSE,FALSE,NA,NA
"12","RT @techysethi: Camera and mic issues plague #googlepixel 
#Google https://t.co/3n6DvOxVSj",FALSE,0,NA,2016-12-05 05:03:58,FALSE,NA,"805638824663519232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roy_abijeet",1,TRUE,FALSE,NA,NA
"13","My Dream Phone Would Have #samsung screen &amp; camera, #HTC Speakers, #Moto Battery, #googlepixel software &amp; optimization, And #ANDROID #ORIO",FALSE,0,NA,2016-12-04 23:23:29,FALSE,NA,"805553139558600704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Every1Tech",0,FALSE,FALSE,NA,NA
"14","#googlepixel day 2, awesome camera. https://t.co/249xDptSKD",FALSE,0,NA,2016-12-04 17:37:27,FALSE,NA,"805466058639294464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rurbiztondo3",0,FALSE,FALSE,NA,NA
"15","Dang, my phone had a nice camera. #GooglePixel #nofilter https://t.co/9hgt2nIc07",FALSE,4,NA,2016-12-04 05:50:55,FALSE,NA,"805288251900776448",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CEscalanteMusic",0,FALSE,FALSE,NA,NA
"16","@toddschnitt Now how's that for a example of the incredible camera on this #GooglePixel? What a pretty sight! https://t.co/N0Y5b1uu5T",FALSE,0,"toddschnitt",2016-12-03 23:24:06,FALSE,NA,"805190907351834624","273748204","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","removeObama2012",0,FALSE,FALSE,NA,NA
"17","RT @TrendGizmo: https://t.co/58pZnaSPXK : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/tY0…",FALSE,0,NA,2016-12-03 19:59:35,FALSE,NA,"805139437298577408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wwfjd869",1,TRUE,FALSE,NA,NA
"18","https://t.co/j3DaAKClyU : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/Grldgx6AwB",FALSE,0,NA,2016-12-03 19:43:26,FALSE,NA,"805135372669911044",NA,"<a href=""http://squidos.com"" rel=""nofollow"">Twitter Profile SNAP</a>","AntoIhq",0,FALSE,FALSE,NA,NA
"19","https://t.co/vogRcCHxXX : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/l1pXSbeD14",FALSE,0,NA,2016-12-03 19:43:25,FALSE,NA,"805135368655872001",NA,"<a href=""http://oigel.com/"" rel=""nofollow"">Snap Sondy</a>","SndyAaron",0,FALSE,FALSE,NA,NA
"20","https://t.co/kSjxVifvqy : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/vW2ccYysH6",FALSE,0,NA,2016-12-03 19:43:24,FALSE,NA,"805135364415430656",NA,"<a href=""http://www.trendindo.com"" rel=""nofollow"">Trendindoku</a>","BobySPutra",0,FALSE,FALSE,NA,NA
"21","https://t.co/fbABdIDRTw : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/85gURqh4UY",FALSE,0,NA,2016-12-03 19:43:23,FALSE,NA,"805135360288292864",NA,"<a href=""http://www.trendlogs.com"" rel=""nofollow"">WEBURE</a>","WEBUREcom",0,FALSE,FALSE,NA,NA
"22","https://t.co/FI3qdosJcb : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/8VxPvKAiRo",FALSE,0,NA,2016-12-03 19:43:22,FALSE,NA,"805135355808714752",NA,"<a href=""http://www.trendlogs.com"" rel=""nofollow"">SQUIDOS</a>","SQUIDOScom",0,FALSE,FALSE,NA,NA
"23","https://t.co/58pZnaSPXK : #GooglePixel #Smartphone - Google Pixel Glitch: Pink And Purple Lines On #Camera https://t.co/tY0g19ax16",FALSE,2,NA,2016-12-03 19:43:21,FALSE,NA,"805135351442444288",NA,"<a href=""http://en.oigel.com"" rel=""nofollow"">BLOGRSS</a>","TrendGizmo",1,FALSE,FALSE,NA,NA
"24","Loving my new phone, the camera on it is great <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0084> #googlepixel https://t.co/XsIXehM3Ie",FALSE,1,NA,2016-12-03 17:31:41,FALSE,NA,"805102219116875776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1_claire1",0,FALSE,FALSE,NA,NA
"25","Testing the camera on the #GooglePixel, Not bad (not great either <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>) #Glasgow #PurpleRain… https://t.co/mPXsEIhoSb",FALSE,0,NA,2016-12-03 17:15:23,FALSE,NA,"805098114898153472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","GeneralBeardo",0,FALSE,FALSE,NA,NA
