"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Critics review #iPhone7 #waterresistance #camera best features https://t.co/XxloWUzF8K",FALSE,0,NA,2016-12-07 19:01:06,FALSE,NA,"806574271665471491",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SaintRenita",0,FALSE,FALSE,NA,NA
"2","RT @NathTav0303: When @Apple iPhone 7's camera is as good as a professional camera: https://t.co/OtMnVVFX6W #advertising #iphone7",FALSE,0,NA,2016-12-07 18:15:12,FALSE,NA,"806562719751147520",NA,"<a href=""http://event.bennybot-private.com/"" rel=""nofollow"">Compte_6_API_1</a>","sergeyfadeevy02",1,TRUE,FALSE,NA,NA
"3","When @Apple iPhone 7's camera is as good as a professional camera: https://t.co/OtMnVVFX6W #advertising #iphone7",FALSE,0,NA,2016-12-07 18:14:50,FALSE,NA,"806562628772298753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NathTav0303",1,FALSE,FALSE,NA,NA
"4","iPhone 7 to Feature Dual-Camera... https://t.co/K93lhcoF8V
 #Apple #Camera #DualCamera #iOS #iPads #iPhone #IPhone7 #KGI #MacBooks #TimCook",FALSE,0,NA,2016-12-07 17:24:25,FALSE,NA,"806549939392311297",NA,"<a href=""http://winthecustomer.com/"" rel=""nofollow"">Win the Customer</a>","moyinoluwa_mm",0,FALSE,FALSE,NA,NA
"5","I need help! I am buying a new phone soon, but am undecided! #Iphone7 or #GalaxyS7  I want a good camera and battery life. Which is best??",FALSE,0,NA,2016-12-07 17:17:31,FALSE,NA,"806548206070931460",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrsTullis125",0,FALSE,FALSE,NA,NA
"6","Critics review #iPhone7 #waterresistance #camera best features https://t.co/2pXudalwXM",FALSE,0,NA,2016-12-07 16:30:34,FALSE,NA,"806536390494289922",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","divyasharma767",0,FALSE,FALSE,NA,NA
"7","RT @jamesatcoywood: Apple says iPhone 7 video is as good as a movie camera https://t.co/hpdrgtmY6P #iphone7",FALSE,0,NA,2016-12-07 12:35:05,FALSE,NA,"806477128795615232",NA,"<a href=""http://www.smartprotektor.com"" rel=""nofollow"">@Smart_Protektor</a>","Smart_Protektor",1,TRUE,FALSE,NA,NA
"8","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 11:58:14,FALSE,NA,"806467853348048896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akr__823",468,TRUE,FALSE,NA,NA
"9","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 11:23:41,FALSE,NA,"806459160694923264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","risa1412gene",468,TRUE,FALSE,NA,NA
"10","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 11:18:10,FALSE,NA,"806457770060877824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amh_ny",468,TRUE,FALSE,NA,NA
